ElectionType,Election,GeographyType,Geography,Poll,DateStart,DateEnd,SampleSize,SampleType,Democrat,Republican
Presidential,Presidential,National,National,CNN,9/19/2024,9/22/2024,2074,LV,48%,47%
Presidential,Presidential,National,National,Quinnipiac,9/19/2024,9/22/2024,1728,LV,47%,48%
Presidential,Presidential,National,National,YouGov/CBS News,9/18/2024,9/20/2024,3129,RV,52%,48%
Presidential,Presidential,National,National,RMG Research,9/16/2024,9/19/2024,2969,LV,50%,48%
Presidential,Presidential,National,National,Outward Intelligence,9/15/2024,9/19/2024,1880,LV,53%,47%
Presidential,Presidential,National,National,Rasmussen Reports,9/12/2024,9/18/2024,1855,LV,47%,49%
Presidential,Presidential,National,National,Florida Atlantic University,9/16/2024,9/17/2024,810,LV,49%,45%
Presidential,Presidential,National,National,YouGov/The Economist,9/15/2024,9/17/2024,1445,RV,49%,45%
Presidential,Presidential,National,National,NBC News,9/13/2024,9/17/2024,1000,RV,49%,44%
Presidential,Presidential,National,National,ActiVote,9/11/2024,9/17/2024,1000,LV,53%,47%
Presidential,Presidential,National,National,Fox News,9/13/2024,9/16/2024,1102,RV,50%,48%
Presidential,Presidential,National,National,Angus Reid,9/13/2024,9/16/2024,1707,RV,49%,45%
Presidential,Presidential,National,National,NYTimes/Siena College,9/11/2024,9/16/2024,2437,LV,47%,47%
Presidential,Presidential,National,National,Morning Consult,9/13/2024,9/15/2024,11022,LV,51%,45%
Presidential,Presidential,National,National,Big Village,9/11/2024,9/15/2024,1568,LV,51%,43%
Presidential,Presidential,National,National,Monmouth University,9/11/2024,9/15/2024,803,RV,49%,44%
Presidential,Presidential,National,National,Data for Progress (D),9/12/2024,9/13/2024,1283,LV,50%,46%
Presidential,Presidential,National,National,ABC News,9/11/2024,9/13/2024,2196,LV,52%,46%
Presidential,Presidential,National,National,I&I/TIPP,9/11/2024,9/13/2024,1721,RV,47%,43%
Presidential,Presidential,National,National,HarrisX/Forbes,9/11/2024,9/13/2024,3018,RV,48%,45%
Presidential,Presidential,National,National,Reuters/Ipsos,9/11/2024,9/12/2024,1405,RV,47%,42%
Presidential,Presidential,National,National,Atlas Intel,9/11/2024,9/12/2024,1775,LV,48%,51%
Presidential,Presidential,National,National,RMG Research,9/9/2024,9/12/2024,2756,LV,51%,47%
Presidential,Presidential,National,National,AtlasIntel,9/11/2024,9/12/2024,1775,LV,47%,51%
Presidential,Presidential,National,National,Morning Consult,9/11/2024,9/11/2024,3204,LV,50%,45%
Presidential,Presidential,National,National,Léger,9/10/2024,9/11/2024,1174,LV,50%,47%
Presidential,Presidential,National,National,Rasmussen Reports,9/8/2024,9/11/2024,2390,LV,47%,49%
Presidential,Presidential,National,National,Big Village,9/6/2024,9/8/2024,1546,LV,49%,45%
Presidential,Presidential,National,National,Morning Consult,9/4/2024,9/8/2024,10608,LV,49%,46%
Presidential,Presidential,National,National,New York Times/Siena College,9/3/2024,9/6/2024,1695,LV,47%,48%
Presidential,Presidential,National,National,Harvard/Harris,9/4/2024,9/5/2024,2358,RV,50%,50%
Presidential,Presidential,National,National,RMG Research,9/3/2024,9/5/2024,2701,LV,50%,48%
Presidential,Presidential,National,National,NPR/PBS News/Marist College,9/3/2024,9/5/2024,1413,LV,49%,48%
Presidential,Presidential,National,National,Outward Intelligence,9/1/2024,9/5/2024,1890,LV,52%,48%
Presidential,Presidential,National,National,Harvard/Harris,9/4/2024,9/5/2024,2358,RV,46%,46%
Presidential,Presidential,National,National,Emerson College,9/3/2024,9/4/2024,1000,LV,49%,47%
Presidential,Presidential,National,National,Morning Consult,9/2/2024,9/4/2024,11414,RV,49%,46%
Presidential,Presidential,National,National,Rasmussen Reports,8/29/2024,9/4/2024,1893,LV,46%,47%
Presidential,Presidential,National,National,Pew Research Center,8/26/2024,9/2/2024,9720,A,49%,49%
Presidential,Presidential,National,National,I&I/TIPP,8/28/2024,8/30/2024,1386,RV,48%,45%
Presidential,Presidential,National,National,Outward Intelligence,8/25/2024,8/29/2024,2191,LV,53%,47%
Presidential,Presidential,National,National,RMG Research,8/26/2024,8/28/2024,2441,LV,51%,48%
Presidential,Presidential,National,National,Suffolk University/USA TODAY,8/25/2024,8/28/2024,1000,LV,48%,43%
Presidential,Presidential,National,National,Rasmussen Reports,8/25/2024,8/28/2024,1879,LV,46%,48%
Presidential,Presidential,National,National,Wall Street Journal,8/24/2024,8/28/2024,1500,RV,48%,47%
Presidential,Presidential,National,National,Clarity Campaign Labs,8/23/2024,8/28/2024,1238,LV,51%,45%
Presidential,Presidential,National,National,Quinnipiac,8/23/2024,8/27/2024,1611,LV,49%,48%
Presidential,Presidential,National,National,YouGov/Yahoo,8/22/2024,8/26/2024,1197,RV,47%,46%
Presidential,Presidential,National,National,Echelon Insights,8/23/2024,8/25/2024,1031,LV,48%,49%
Presidential,Presidential,National,National,Florida Atlantic University,8/23/2024,8/25/2024,929,RV,47%,43%
Presidential,Presidential,National,National,Leger,8/23/2024,8/25/2024,863,LV,50%,46%
Presidential,Presidential,National,National,Morning Consult,8/23/2024,8/25/2024,7818,RV,48%,44%
Presidential,Presidential,National,National,Kaplan Strategies,8/24/2024,8/24/2024,1190,LV,52%,45%
Presidential,Presidential,National,National,ActiVote,8/15/2024,8/23/2024,1000,LV,53%,47%
Presidential,Presidential,National,National,Rasmussen Reports,8/18/2024,8/21/2024,1893,LV,46%,49%
Presidential,Presidential,National,National,FDU,8/17/2024,8/20/2024,801,RV,50%,43%
Presidential,Presidential,National,National,CBS News,8/14/2024,8/16/2024,3253,LV,51%,48%
Presidential,Presidential,National,National,Outward Intelligence,8/11/2024,8/15/2024,1858,LV,53%,47%
Presidential,Presidential,National,National,Emerson College,8/12/2024,8/14/2024,1000,LV,50%,46%
Presidential,Presidential,National,National,Rasmussen Reports,8/11/2024,8/14/2024,1885,LV,45%,49%
Presidential,Presidential,National,National,ActiVote,8/7/2024,8/14/2024,1000,LV,52%,48%
Presidential,Presidential,National,National,Emerson College,8/12/2024,8/14/2024,1000,LV,48%,44%
Presidential,Presidential,National,National,RMG Research,8/12/2024,8/14/2024,2708,LV,47%,49%
Presidential,Presidential,National,National,ABC News/The Washington Post,8/9/2024,8/13/2024,1975,RV,49%,45%
Presidential,Presidential,National,National,The Economist/YouGov,8/11/2024,8/13/2024,1407,RV,46%,44%
Presidential,Presidential,National,National,Fox News,8/9/2024,8/12/2024,1105,RV,49%,50%
Presidential,Presidential,National,National,Morning Consult,8/9/2024,8/11/2024,11778,RV,47%,44%
Presidential,Presidential,National,National,JL Partners,8/7/2024,8/11/2024,1001,LV,41%,43%
Presidential,Presidential,National,National,Pew Research,8/5/2024,8/11/2024,9201,A,46%,45%
Presidential,Presidential,National,National,Quantus Polls and News,8/7/2024,8/8/2024,1000,RV,47%,46%
Presidential,Presidential,National,National,Rasmussen Reports,8/4/2024,8/7/2024,1794,LV,44%,49%
Presidential,Presidential,National,National,Ipsos/Reuters,8/2/2024,8/7/2024,2045,A,42%,37%
Presidential,Presidential,National,National,Rasmussen Reports,8/4/2024,8/7/2024,1794,LV,44%,49%
Presidential,Presidential,National,National,ActiVote,7/30/2024,8/6/2024,1000,LV,50%,50%
Presidential,Presidential,National,National,The Economist/YouGov,8/4/2024,8/6/2024,1410,RV,45%,43%
Presidential,Presidential,National,National,ActiVote,7/30/2024,8/6/2024,1000,LV,45%,44%
Presidential,Presidential,National,National,SurveyUSA,8/2/2024,8/4/2024,1510,LV,48%,45%
Presidential,Presidential,National,National,Morning Consult,8/2/2024,8/4/2024,11265,RV,48%,44%
Presidential,Presidential,National,National,NPR/PBS News/Marist College,8/1/2024,8/4/2024,1513,RV,51%,48%
Presidential,Presidential,National,National,CNBC,7/31/2024,8/4/2024,1001,RV,46%,48%
Presidential,Presidential,National,National,NPR/PBS News/Marist College,8/1/2024,8/4/2024,1513,RV,48%,45%
Presidential,Presidential,National,National,Issues & Insights/TIPP,7/31/2024,8/2/2024,1326,RV,46%,45%
Presidential,Presidential,National,National,CBS News/YouGov,7/30/2024,8/2/2024,3102,RV,50%,49%
Presidential,Presidential,National,National,Marquette Law,7/24/2024,8/1/2024,683,LV,53%,47%
Presidential,Presidential,National,National,Rasmussen Reports,7/28/2024,7/31/2024,2163,LV,44%,49%
Presidential,Presidential,National,National,RMG Research,7/29/2024,7/31/2024,3000,RV,47%,42%
Presidential,Presidential,National,National,Civiqs/Daily Kos,7/27/2024,7/30/2024,1123,RV,49%,45%
Presidential,Presidential,National,National,The Economist/YouGov,7/27/2024,7/30/2024,1430,RV,46%,44%
Presidential,Presidential,National,National,ActiVote,7/24/2024,7/29/2024,1000,LV,49%,51%
Presidential,Presidential,National,National,McLaughlin & Associates,7/23/2024,7/29/2024,1000,LV,45%,47%
Presidential,Presidential,National,National,Redfield & Wilton Strategies,7/29/2024,7/29/2024,1750,LV,45%,43%
Presidential,Presidential,National,National,ActiVote,7/24/2024,7/29/2024,1000,LV,44%,46%
Presidential,Presidential,National,National,Leger,7/26/2024,7/28/2024,776,LV,49%,46%
Presidential,Presidential,National,National,Morning Consult,7/26/2024,7/28/2024,11538,RV,47%,46%
Presidential,Presidential,National,National,Reuters/Ipsos,7/26/2024,7/28/2024,876,RV,43%,42%
Presidential,Presidential,National,National,Harvard/Harris,7/26/2024,7/28/2024,2196,RV,45%,48%
Presidential,Presidential,National,National,Leger,7/26/2024,7/28/2024,786,LV,48%,41%
Presidential,Presidential,National,National,Harvard/Harris,7/26/2024,7/28/2024,2196,RV,42%,45%
Presidential,Presidential,National,National,FAU/Mainstreet Research,7/26/2024,7/27/2024,952,LV,48%,46%
Presidential,Presidential,National,National,Angus Reid Global,7/23/2024,7/25/2024,1743,RV,44%,42%
Presidential,Presidential,National,National,Wall Street Journal,7/25/2024,7/25/2024,1000,RV,47%,49%
Presidential,Presidential,National,National,AtlasIntel,7/23/2024,7/25/2024,1980,RV,48%,50%
Presidential,Presidential,National,National,Forbes/HarrisX,7/22/2024,7/25/2024,3013,RV,45%,47%
Presidential,Presidential,National,National,AtlasIntel,7/23/2024,7/25/2024,1980,RV,46%,48%
Presidential,Presidential,National,National,Wall Street Journal,7/23/2024,7/25/2024,1000,RV,45%,44%
Presidential,Presidential,National,National,Forbes/HarrisX,7/22/2024,7/25/2024,3013,RV,42%,43%
Presidential,Presidential,National,National,New York Times/Siena College,7/22/2024,7/24/2024,1141,LV,47%,48%
Presidential,Presidential,National,National,CNBC,7/22/2024,7/24/2024,2137,RV,44%,43%
Presidential,Presidential,National,National,Morning Consult,7/22/2024,7/24/2024,11297,RV,46%,45%
Presidential,Presidential,National,National,Rasmussen Reports,7/22/2024,7/24/2024,1074,LV,43%,50%
Presidential,Presidential,National,National,New York Times/Siena College,7/22/2024,7/24/2024,1000,RV,44%,43%
Presidential,Presidential,National,National,Big Village,7/22/2024,7/24/2024,1492,LV,43%,44%
Presidential,Presidential,National,National,CNN/SSRS,7/22/2024,7/23/2024,1631,RV,46%,49%
Presidential,Presidential,National,National,Reuters/Ipsos,7/22/2024,7/23/2024,1018,RV,44%,42%
Presidential,Presidential,National,National,ActiVote,7/21/2024,7/23/2024,1000,LV,50%,51%
Presidential,Presidential,National,National,North Star Opinion/American Greatness,7/20/2024,7/23/2024,600,LV,45%,47%
Presidential,Presidential,National,National,The Economist/YouGov,7/21/2024,7/23/2024,1605,RV,41%,44%
Presidential,Presidential,National,National,RMG Research,7/22/2024,7/23/2024,2000,RV,46%,48%
Presidential,Presidential,National,National,Reuters/Ipsos,7/22/2024,7/23/2024,1241,A,42%,38%
Presidential,Presidential,National,National,Morning Consult,7/21/2024,7/22/2024,4001,RV,45%,47%
Presidential,Presidential,National,National,Yahoo News,7/19/2024,7/22/2024,1743,A,46%,46%
Presidential,Presidential,National,National,NPR/PBS,7/22/2024,7/22/2024,1309,A,42%,42%
Presidential,Presidential,National,National,MainStreet Research,7/19/2024,7/21/2024,780,IVR,44%,49%
Presidential,Presidential,National,National,Echelon Insights,7/19/2024,7/21/2024,982,LV,47%,49%
Presidential,Presidential,National,National,Forbes/HarrisX,7/19/2024,7/21/2024,2753,RV,47%,53%
Presidential,Presidential,National,National,CBS News,7/16/2024,7/18/2024,2247,RV,48%,51%
Presidential,Presidential,National,National,Reuters/Ipsos,7/15/2024,7/16/2024,992,RV,44%,44%
Presidential,Presidential,National,National,NPR/PBS News/Marist College,7/9/2024,7/10/2024,1174,RV,50%,49%
Presidential,Presidential,National,National,Fox News,7/7/2024,7/10/2024,1210,RV,48%,49%
Presidential,Presidential,National,National,NBC News,7/7/2024,7/9/2024,800,RV,45%,47%
Presidential,Presidential,National,National,ABC News/The Washington Post/Ipsos,7/5/2024,7/9/2024,2041,RV,49%,47%
Presidential,Presidential,National,National,The Economist/YouGov,7/7/2024,7/9/2024,1443,RV,38%,42%
Presidential,Presidential,National,National,Emerson College,7/7/2024,7/8/2024,1370,RV,43%,49%
Presidential,Presidential,National,National,Reuters/Ipsos,7/1/2024,7/2/2024,1070,A,42%,43%
Presidential,Presidential,National,National,Yahoo News/YouGov,6/28/2024,7/1/2024,1176,RV,45%,47%
Presidential,Presidential,National,National,Forbes/HarrisX,6/28/2024,6/30/2024,1500,RV,47%,53%
Presidential,Presidential,National,National,CNN/SSRS,6/28/2024,6/30/2024,1045,RV,45%,47%
Presidential,Presidential,National,National,Forbes/HarrisX,6/28/2024,6/30/2024,1500,RV,38%,43%
Presidential,Presidential,National,National,Forbes/HarrisX,6/28/2024,6/30/2024,1500,RV,40%,43%
Presidential,Presidential,National,National,McLaughlin & Associates,6/18/2024,6/24/2024,1000,LV,42%,47%
Presidential,Presidential,National,National,Beacon Research/Shaw & Company Research/Fox News,11/10/2023,11/13/2023,1001,RV,45%,50%
Presidential,Presidential,State,Alaska,Alaska Survey Research,10/20/2024,10/22/2024,1703,LV,45%,55%
Presidential,Presidential,State,Alaska,Alaska Survey Research,10/8/2024,10/9/2024,1254,LV,46%,54%
Presidential,Presidential,State,Arizona,HarrisX,11/3/2024,11/5/2024,1636,RV,46%,47%
Presidential,Presidential,State,Arizona,AtlasIntel,11/3/2024,11/4/2024,875,LV,47%,52%
Presidential,Presidential,State,Arizona,Victory Insights,11/2/2024,11/3/2024,750,LV,48%,49%
Presidential,Presidential,State,Arizona,Patriot Polling,11/1/2024,11/3/2024,801,RV,48%,51%
Presidential,Presidential,State,Arizona,AtlasIntel,11/1/2024,11/2/2024,967,LV,46%,52%
Presidential,Presidential,State,Arizona,Emerson College,10/30/2024,11/2/2024,900,LV,48%,50%
Presidential,Presidential,State,Arizona,The New York Times/Siena College,10/25/2024,11/2/2024,1025,RV,44%,48%
Presidential,Presidential,State,Arizona,The New York Times/Siena College,10/25/2024,11/2/2024,1025,LV,45%,49%
Presidential,Presidential,State,Arizona,ActiVote,10/8/2024,11/1/2024,400,LV,49%,51%
Presidential,Presidential,State,Arizona,SoCal Strategies (R),10/30/2024,10/31/2024,750,LV,49%,50%
Presidential,Presidential,State,Arizona,AtlasIntel,10/30/2024,10/31/2024,1005,LV,47%,51%
Presidential,Presidential,State,Arizona,OnMessage Inc. (R),10/29/2024,10/31/2024,800,LV,47%,50%
Presidential,Presidential,State,Arizona,YouGov,10/25/2024,10/31/2024,880,RV,49%,50%
Presidential,Presidential,State,Arizona,YouGov,10/25/2024,10/31/2024,856,LV,49%,50%
Presidential,Presidential,State,Arizona,Morning Consult,10/21/2024,10/30/2024,666,LV,48%,48%
Presidential,Presidential,State,Arizona,Rasmussen Reports (R),10/25/2024,10/29/2024,803,LV,46%,48%
Presidential,Presidential,State,Arizona,AtlasIntel,10/25/2024,10/29/2024,1458,LV,47%,51%
Presidential,Presidential,State,Arizona,Mitchell Research & Communications,10/28/2024,10/28/2024,610,LV,48%,50%
Presidential,Presidential,State,Arizona,RABA Research,10/25/2024,10/27/2024,589,RV,45%,43%
Presidential,Presidential,State,Arizona,Trafalgar Group (R),10/24/2024,10/26/2024,1094,LV,46%,48%
Presidential,Presidential,State,Arizona,CES/YouGov,10/1/2024,10/25/2024,2077,A,49%,49%
Presidential,Presidential,State,Arizona,CES/YouGov,10/1/2024,10/25/2024,2066,LV,47%,51%
Presidential,Presidential,State,Arizona,Marist College,10/17/2024,10/22/2024,1329,RV,49%,49%
Presidential,Presidential,State,Arizona,Marist College,10/17/2024,10/22/2024,1193,LV,49%,50%
Presidential,Presidential,State,Arizona,InsiderAdvantage (R),10/20/2024,10/21/2024,800,LV,47%,50%
Presidential,Presidential,State,Arizona,HighGround,10/19/2024,10/20/2024,400,LV,46%,47%
Presidential,Presidential,State,Arizona,Bloomberg/Morning Consult,10/16/2024,10/20/2024,915,RV,49%,49%
Presidential,Presidential,State,Arizona,Bloomberg/Morning Consult,10/16/2024,10/20/2024,861,LV,49%,49%
Presidential,Presidential,State,Arizona,University of Arizona/Truedot,10/12/2024,10/20/2024,846,RV,46%,45%
Presidential,Presidential,State,Arizona,AtlasIntel,10/12/2024,10/17/2024,1440,LV,49%,49%
Presidential,Presidential,State,Arizona,CBS News/YouGov,10/11/2024,10/16/2024,1435,LV,48%,51%
Presidential,Presidential,State,Arizona,Morning Consult,10/6/2024,10/15/2024,653,LV,49%,48%
Presidential,Presidential,State,Arizona,The Washington Post/Schar School,9/30/2024,10/15/2024,580,RV,44%,50%
Presidential,Presidential,State,Arizona,The Washington Post/Schar School,9/30/2024,10/15/2024,580,LV,46%,49%
Presidential,Presidential,State,Arizona,Trafalgar Group (R),10/10/2024,10/13/2024,1090,LV,46%,48%
Presidential,Presidential,State,Arizona,The New York Times/Siena College,10/7/2024,10/10/2024,808,RV,45%,51%
Presidential,Presidential,State,Arizona,The New York Times/Siena College,10/7/2024,10/10/2024,808,LV,46%,51%
Presidential,Presidential,State,Arizona,"Fabrizio, Lee & Associates (R)/McLaughlin & Associates (R)",10/6/2024,10/9/2024,800,LV,46%,49%
Presidential,Presidential,State,Arizona,Emerson College,10/5/2024,10/8/2024,1000,LV,47%,49%
Presidential,Presidential,State,Arizona,The Wall Street Journal,9/28/2024,10/8/2024,600,RV,48%,46%
Presidential,Presidential,State,Arizona,ActiVote,9/6/2024,10/8/2024,400,LV,49%,51%
